Time,url
2012-03-05 19:54:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__19_54_05_549__SOHO_LASCO_C3_white-light.jp2
2012-03-05 20:06:08+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__20_06_07_640__SOHO_LASCO_C3_white-light.jp2
2012-03-05 20:18:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__20_18_05_432__SOHO_LASCO_C3_white-light.jp2
2012-03-05 20:30:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__20_30_05_628__SOHO_LASCO_C3_white-light.jp2
2012-03-05 20:42:08+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__20_42_07_615__SOHO_LASCO_C3_white-light.jp2
2012-03-05 21:18:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__21_18_06_191__SOHO_LASCO_C3_white-light.jp2
2012-03-05 21:30:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__21_30_06_183__SOHO_LASCO_C3_white-light.jp2
2012-03-05 21:42:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__21_42_06_574__SOHO_LASCO_C3_white-light.jp2
2012-03-05 21:54:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__21_54_05_566__SOHO_LASCO_C3_white-light.jp2
2012-03-05 22:06:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__22_06_05_458__SOHO_LASCO_C3_white-light.jp2
2012-03-05 22:18:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__22_18_06_150__SOHO_LASCO_C3_white-light.jp2
2012-03-05 22:30:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__22_30_06_641__SOHO_LASCO_C3_white-light.jp2
2012-03-05 23:06:10+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__23_06_09_816__SOHO_LASCO_C3_white-light.jp2
2012-03-05 23:18:10+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__23_18_10_108__SOHO_LASCO_C3_white-light.jp2
2012-03-05 23:30:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__23_30_06_100__SOHO_LASCO_C3_white-light.jp2
2012-03-05 23:42:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__23_42_06_091__SOHO_LASCO_C3_white-light.jp2
